what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1264201866238
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1264201878051
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.RunLast",1264201881262
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264201894684
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264201895692
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1264201908416
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1264201912033
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1264201919486
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1264201934316
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.RunLast",1264201936662
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1264201940886
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1264201946602
started,bundle,net.sf.webcat.eclipse.submitter.ui,1.3.0,"net.sf.webcat.eclipse.submitter.ui",1264201951615
started,bundle,net.sf.webcat.eclipse.submitter,1.3.0,"net.sf.webcat.eclipse.submitter",1264201951786
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264201951928
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264201960040
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264201960236
opened,editor,net.sf.webcat.eclipse.submitter.ui,1.3.0,"net.sf.webcat.eclipse.submitter.ui.editors.BrowserEditor",1264201974726
activated,editor,net.sf.webcat.eclipse.submitter.ui,1.3.0,"net.sf.webcat.eclipse.submitter.ui.editors.BrowserEditor",1264201974760
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264201974783
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264201984076
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264201990702
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264201994374
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264202044774
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1264202087598
