what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264202091830
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264202094921
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264202095029
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1264202095038
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264202101009
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264202104469
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264202104507
opened,editor,net.sf.webcat.eclipse.submitter.ui,1.3.0,"net.sf.webcat.eclipse.submitter.ui.editors.BrowserEditor",1264202114490
activated,editor,net.sf.webcat.eclipse.submitter.ui,1.3.0,"net.sf.webcat.eclipse.submitter.ui.editors.BrowserEditor",1264202114506
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264202114518
activated,editor,net.sf.webcat.eclipse.submitter.ui,1.3.0,"net.sf.webcat.eclipse.submitter.ui.editors.BrowserEditor",1264202119290
activated,editor,net.sf.webcat.eclipse.submitter.ui,1.3.0,"net.sf.webcat.eclipse.submitter.ui.editors.BrowserEditor",1264202139663
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264202144605
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264202146791
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264202181567
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264202258929
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264202260675
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264203221938
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264204006655
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264204008558
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264204032426
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264204123720
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264204124266
stopped,bundle,org.eclipse.mylyn.ide.ant,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.ide.ant",1264204125499
stopped,bundle,org.eclipse.ant.ui,3.4.1.v20090901_r351,"org.eclipse.ant.ui",1264204125530
