what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.textStart",1264375862050
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1264375866614
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264375868503
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264375871622
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264375871669
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.RunLast",1264375875174
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1264375880864
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264375886153
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264376560963
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.RunLast",1264376563955
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264376565505
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264376801651
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264376802991
stopped,bundle,org.eclipse.mylyn.ide.ant,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.ide.ant",1264376803771
stopped,bundle,org.eclipse.ant.ui,3.4.1.v20090901_r351,"org.eclipse.ant.ui",1264376803771
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1264376803849
