what,kind,bundleId,bundleVersion,description,time
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1264795698301
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1264795698301
java.vm.specification.version,sysinfo,,,"1.0",1264795698301
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1264795698301
java.vm.version,sysinfo,,,"16.0-b06",1264795698301
started,bundle,org.eclipse.epp.usagedata.ui,1.1.0.R200906100410,"org.eclipse.epp.usagedata.ui",1264795700228
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264795701826
