what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.core,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.bugzilla.core",1264795698229
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.bugzilla.ui",1264795698229
started,bundle,org.eclipse.mylyn.commons.net,3.3.0.v20091013-0200-e3x,"org.eclipse.mylyn.commons.net",1264795698229
started,bundle,org.eclipse.mylyn.commons.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.commons.ui",1264795698253
started,bundle,org.eclipse.mylyn.context.core,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.context.core",1264795698254
started,bundle,org.eclipse.mylyn.context.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.context.ui",1264795698259
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.monitor.ui",1264795698260
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.tasks.ui",1264795698285
started,bundle,org.eclipse.mylyn.team.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.team.ui",1264795698285
started,bundle,net.sf.eclipsecs.core,5.0.1.200908032119,"net.sf.eclipsecs.core",1264795698286
started,bundle,net.sf.eclipsecs.ui,5.0.1.200908032119,"net.sf.eclipsecs.ui",1264795698298
os,sysinfo,,,"win32",1264795698301
arch,sysinfo,,,"x86",1264795698301
ws,sysinfo,,,"win32",1264795698301
locale,sysinfo,,,"en_US",1264795698301
processors,sysinfo,,,"2",1264795698301
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1264795698301
java.runtime.version,sysinfo,,,"1.7.0-ea-b66",1264795698301
java.specification.name,sysinfo,,,"Java Platform API Specification",1264795698301
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1264795698301
java.specification.version,sysinfo,,,"1.7",1264795698301
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1264795698301
java.version,sysinfo,,,"1.7.0-ea",1264795698301
java.vm.info,sysinfo,,,"mixed mode, sharing",1264795698301
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1264795698301
